Ticker,year,month,H_value,Price
SPGI,2018,4,-0.037215375568368146,188.60001
SPGI,2018,5,0.0871879675751955,197.5
SPGI,2018,6,0.11140613347024585,203.89
SPGI,2018,7,0.011628558155471454,200.44
SPGI,2018,8,0.12754837871036206,207.05
SPGI,2018,9,-0.09810129300192609,195.39
SPGI,2018,10,-0.20557379112279459,182.32001
SPGI,2018,11,0.0032338687949755723,182.86
SPGI,2018,12,0.08819306037105734,169.94
SPGI,2019,1,-0.02441796558247513,191.64999
SPGI,2019,2,0.053342428567996446,200.37
SPGI,2019,3,0.09165158587984125,210.55
SPGI,2019,4,-0.029593639443570314,220.66
SPGI,2019,5,0.08566243686113088,213.88
SPGI,2019,6,-0.007267961660067893,227.78999
SPGI,2019,7,-0.024622101100084202,244.95
SPGI,2019,8,0.15066637573981392,260.19
SPGI,2019,9,0.02760937004488382,244.98
SPGI,2019,10,0.06599521384710157,257.98999
SPGI,2019,11,-0.017091231250625016,264.64999
SPGI,2019,12,-0.08283867215535824,273.04999
SPGI,2020,1,-0.24244880789458498,293.73001
SPGI,2020,2,-0.06450203550150292,265.91
SPGI,2020,3,-0.02441247659270868,245.05
SPGI,2020,4,-0.03745420900208357,292.88
SPGI,2020,5,-0.0595756681933667,325.01999
SPGI,2020,6,-0.028210121956538447,329.48001
SPGI,2020,7,0.04527553417282714,350.25
SPGI,2020,8,0.0468689147249869,366.42001
SPGI,2020,9,-0.012787535885820347,360.60001
SPGI,2020,10,-0.01764154311386632,322.73001
SPGI,2020,11,0.016715790720197167,351.78
SPGI,2020,12,0.03756957081918669,328.73001
SPGI,2021,1,-0.07098081273888679,317.0
SPGI,2021,2,-0.2888168272430694,329.35999
SPGI,2021,3,-0.24309765802960936,352.87
SPGI,2021,4,-0.39209725771064885,390.39001
SPGI,2021,5,-0.23487740842153623,379.47
SPGI,2021,6,-0.44892905830573554,410.45001
SPGI,2021,7,-0.43613104829618105,428.72
SPGI,2021,8,-0.16487274088442153,443.82001
SPGI,2021,9,-0.2828692153394591,424.89001
SPGI,2021,10,-0.3583485013615369,474.16
SPGI,2021,11,-0.18779955851343563,455.73001
SPGI,2021,12,-0.41930897610400125,471.92999
SPGI,2022,1,-0.2119413116598833,415.22
SPGI,2022,2,-0.28110117833404175,375.70001
SPGI,2022,3,-0.058622265640948495,410.17999
SPGI,2022,4,-0.009217316676221882,376.5
SPGI,2022,5,0.049630757614503786,349.48001
SPGI,2022,6,-0.077278903641732,337.06
SPGI,2022,7,0.07561451395619853,376.92999
SPGI,2022,8,0.05649165142029461,352.17999
SPGI,2022,9,-0.07483270900376818,305.35001
SPGI,2022,10,0.05696764958734245,321.25
SPGI,2022,11,0.23433605532721463,352.79999
SPGI,2022,12,0.16863514328124649,334.94
SPGI,2023,1,0.08158013759326985,374.94
SPGI,2023,2,0.0495653362164328,341.20001
SPGI,2023,3,-0.09756884551113461,344.76999
SPGI,2023,4,-0.002651361806931102,362.57999
SPGI,2023,5,0.035244079707548316,367.42999
SPGI,2023,6,0.12030096332203384,400.89001
SPGI,2023,7,0.06839113353513801,394.51001
SPGI,2023,8,0.04697724700786309,390.85999
SRE,2010,1,0.27611857760689207,50.75
SRE,2010,2,0.29257778022093905,49.17
SRE,2010,3,0.5752892933206144,49.9
SRE,2010,4,0.5519429216222895,49.18
SRE,2010,5,-0.06485348202414506,46.0
SRE,2010,6,0.16106704407857425,46.79
SRE,2010,7,0.08298736921376318,49.75
SRE,2010,8,0.09952487725185871,50.92
SRE,2010,9,0.32627956249920553,53.8
SRE,2010,10,0.21684416358288824,53.48
SRE,2010,11,0.45973624157621895,50.09
SRE,2010,12,0.18551317322189773,52.48
SRE,2011,1,0.08462425843772034,52.07
SRE,2011,2,-0.42311779772955893,53.23
SRE,2011,3,0.11561547374314297,53.5
SRE,2011,4,0.14567418516888025,55.1
SRE,2011,5,-0.06291077988719922,55.17
SRE,2011,6,-0.1262375486824524,52.88
SRE,2011,7,0.1597589386619563,50.69
SRE,2011,8,0.11090541613654521,52.52
SRE,2011,9,-0.02321224656075888,51.5
SRE,2011,10,0.13363038648206793,53.73
SRE,2011,11,0.1878962721925617,53.19
SRE,2011,12,0.313290270708194,55.0
SRE,2012,1,0.384510163815399,56.9
SRE,2012,2,0.19215622506915453,59.24
SRE,2012,3,0.1842717441247246,59.96
SRE,2012,4,0.34368764516707256,64.74
SRE,2012,5,0.042222825006813465,65.01
SRE,2012,6,0.38386395697694703,68.88
SRE,2012,7,0.5138514630530304,70.41
SRE,2012,8,-0.03276268095821718,66.2
SRE,2012,9,0.1552712914129956,64.49
SRE,2012,10,0.33650094985102025,69.75
SRE,2012,11,0.2254325568392519,68.42
SRE,2012,12,0.3650963598447447,70.94
SRE,2013,1,0.2839090489845777,75.05
SRE,2013,2,-0.06740616235274893,77.76
SRE,2013,3,0.3040458790838046,79.94
SRE,2013,4,-0.048572380116670984,82.85
SRE,2013,5,-0.09661493486220776,81.3
SRE,2013,6,0.04862816793195298,81.76
SRE,2013,7,0.15922997534949823,87.63
SRE,2013,8,-0.009981212612069666,84.42
SRE,2013,9,0.11563909636622413,85.6
SRE,2013,10,0.11416247907434116,91.14
SRE,2013,11,0.061927741801853675,88.44
SRE,2013,12,0.08916202295540579,89.76
SRE,2014,1,-0.1298220045330724,92.71
SRE,2014,2,-0.299228008884985,94.47
SRE,2014,3,-0.0325635009777444,96.76
SRE,2014,4,-0.020410696987266455,98.61
SRE,2014,5,-0.007373473817192904,100.35
SRE,2014,6,0.01148630057287807,104.71
SRE,2014,7,0.10871965280605106,99.71
SRE,2014,8,0.5686683076130715,105.97
SRE,2014,9,0.1487971252763623,105.38
SRE,2014,10,0.14303111003460717,110.0
SRE,2014,11,0.03585393220414512,111.73
SRE,2014,12,0.09188006792391916,111.36
SRE,2015,1,0.11924197427844789,111.92
SRE,2015,2,0.011758357557062683,108.2
SRE,2015,3,0.012694931246711737,109.02
SRE,2015,4,0.017500204692827537,106.17
SRE,2015,5,0.07307812282631602,107.47
SRE,2015,6,0.05942911431071118,98.94
SRE,2015,7,0.016415459618056363,101.78
SRE,2015,8,-0.12150216760810219,94.85
SRE,2015,9,-0.034609122974348934,96.72
SRE,2015,10,0.7680738849748486,102.41
SRE,2015,11,0.03260922141843407,99.23
SRE,2015,12,-0.0583827534829692,94.01
SRE,2016,1,0.16432851362658463,94.75
SRE,2016,2,-0.2483625216614605,96.51
SRE,2016,3,-0.08538324096206101,104.05
SRE,2016,4,-0.06903792634096084,103.35
SRE,2016,5,0.20873839778154482,107.12
SRE,2016,6,-0.02422686378082412,114.02
SRE,2016,7,-0.19777394571433987,111.88
SRE,2016,8,-0.07407570556807096,104.63
SRE,2016,9,-0.1953344371902901,107.19
SRE,2016,10,-0.11980810838499616,107.1
SRE,2016,11,0.054053759149257995,99.8
SRE,2016,12,0.1892730857965048,100.64
SRE,2017,1,0.06083968609925028,102.39
SRE,2017,2,0.4728928907063229,110.29
SRE,2017,3,0.028196947155671965,110.5
SRE,2017,4,-0.06138332410098806,113.02
SRE,2017,5,0.03776460184512167,116.49
SRE,2017,6,0.13010489665314434,112.75
SRE,2017,7,0.09327821444561518,113.01
SRE,2017,8,0.03269764565647536,117.93
SRE,2017,9,0.015437387605993313,114.13
SRE,2017,10,0.016312028392798026,117.5
SRE,2017,11,0.009035402106842966,120.99
SRE,2017,12,0.05695646516136974,106.92
SRE,2018,1,-0.10584405445811182,107.02
SRE,2018,2,-0.04934542338285195,108.98
SRE,2018,3,0.13141082735234516,111.22
SRE,2018,4,0.09307823685104973,111.8
SRE,2018,5,-0.014956510688416186,106.53
SRE,2018,6,0.16047135566736168,116.11
SRE,2018,7,0.12917149656674645,115.59
SRE,2018,8,-0.0695982688041135,116.08
SRE,2018,9,0.15699460605479906,113.75
SRE,2018,10,-0.026617114207271274,110.12
SRE,2018,11,-0.11205568787440422,115.22
SRE,2018,12,-0.007791766793750571,108.19
SRE,2019,1,-0.020322759937347383,116.98
SRE,2019,2,0.07794606654778542,120.44
SRE,2019,3,0.10754537211656398,125.86
SRE,2019,4,0.23591638022749972,127.95
SRE,2019,5,-0.02929152929752277,131.45
SRE,2019,6,-0.08352589745126306,137.44
SRE,2019,7,-0.0564493116125637,135.42999
SRE,2019,8,-0.13617008488057095,141.63
SRE,2019,9,-0.11802506867578673,147.61
SRE,2019,10,0.07714189657999837,144.50999
SRE,2019,11,-0.14389763385098214,147.27
SRE,2019,12,0.011337937809056588,151.48
SRE,2020,1,-0.031739516103800415,160.64
SRE,2020,2,0.06004388508376922,139.78
SRE,2020,3,-0.007560737498528819,112.99
SRE,2020,4,0.1347435677022814,123.85
SRE,2020,5,0.28050816000127676,126.31
SRE,2020,6,0.03219552413721153,117.23
SRE,2020,7,0.04265836432568489,124.46
SRE,2020,8,0.20954470978351125,123.65
SRE,2020,9,-0.00823132634224781,118.36
SRE,2020,10,0.22192836666437918,125.36
SRE,2020,11,0.007478863164075958,127.48
SRE,2020,12,0.03097754138897232,127.41
SRE,2021,1,0.07627511034975581,123.76
SRE,2021,2,0.12104653768577889,115.98
SRE,2021,3,0.10182127480564723,132.58
SRE,2021,4,0.1450846925243406,137.57001
SRE,2021,5,-0.05227526744516716,135.49001
SRE,2021,6,0.12682987875085053,132.48
SRE,2021,7,0.11363164498176216,130.64999
SRE,2021,8,0.09577610887771239,132.36
SRE,2021,9,-0.04123311541377268,126.5
SRE,2021,10,-0.005724947311259958,127.63
SRE,2021,11,0.09440460732228849,119.87
SRE,2021,12,0.03436940054912279,132.28
SRE,2022,1,0.05659733440823459,138.16
SRE,2022,2,-0.07513618275501203,144.22
SRE,2022,3,0.0609852294732487,168.12
SRE,2022,4,0.12977266139514362,161.36
SRE,2022,5,0.01793413836863195,163.86
SRE,2022,6,0.16385688842735652,150.27
SRE,2022,7,-0.13536318415621557,165.8
SRE,2022,8,0.08570394587289196,164.97
SRE,2022,9,0.24948051078487618,149.94
SRE,2022,10,0.14003671285011163,150.94
SRE,2022,11,0.16114167258391146,166.19
SRE,2022,12,0.17027531128941348,154.53999
SRE,2023,1,0.17652676121436503,160.33
SRE,2023,2,0.07835064265232075,149.96001
SRE,2023,3,-0.08896324751421877,151.16
SRE,2023,4,0.026676655385776488,155.49001
SRE,2023,5,0.007485509997880985,143.53
SRE,2023,6,0.15217882189783105,145.59
SRE,2023,7,0.20243201700529148,149.02
SRE,2023,8,0.09296191601904324,70.22
T,2010,1,0.3083018773367272,25.36
T,2010,2,0.09904784235614211,24.81
T,2010,3,0.4354554333853087,25.84
T,2010,4,0.16398930784045754,26.06
T,2010,5,0.05963974661455459,24.3
T,2010,6,0.28164544152564003,24.19
T,2010,7,0.2767625382589688,25.94
T,2010,8,0.37948785165767535,27.03
T,2010,9,0.4236697367492135,28.6
T,2010,10,0.22780627379727014,28.52
T,2010,11,0.16518572238108864,27.79
T,2010,12,0.5451142407715078,29.38
T,2011,1,0.10782570771246361,27.52
T,2011,2,0.15331057732137376,28.38
T,2011,3,0.25738973010297717,30.61
T,2011,4,0.3188647410178407,31.12
T,2011,5,0.4564484880214086,31.56
T,2011,6,0.14262559901882,31.41
T,2011,7,0.006712613330408035,29.26
T,2011,8,-0.04925931009880756,28.48
T,2011,9,0.009516672645635663,28.52
T,2011,10,0.06084046257995316,29.31
T,2011,11,0.14515769019530028,28.98
T,2011,12,0.3166816189528968,30.24
T,2012,1,0.36885390443272653,29.41
T,2012,2,0.39855852917510237,30.59
T,2012,3,0.5362672011351698,31.23
T,2012,4,0.26739975358779133,32.91
T,2012,5,0.23201808276423252,34.17
T,2012,6,0.2287202899934854,35.66
T,2012,7,0.25793456669334447,37.92
T,2012,8,0.1603083824413084,36.64
T,2012,9,0.13228915288930695,37.7
T,2012,10,0.1462261077850928,34.59
T,2012,11,0.021356482268857165,34.13
T,2012,12,0.04806070213374217,33.71
T,2013,1,0.027075498512966523,34.79
T,2013,2,-0.008260204270062167,35.91
T,2013,3,0.13706138847456315,36.69
T,2013,4,0.13786623869383086,37.46
T,2013,5,-0.022485105926828022,34.99
T,2013,6,0.06854669212824788,35.4
T,2013,7,0.043896790897007404,35.27
T,2013,8,0.03016981388554227,33.83
T,2013,9,0.14648758917594995,33.82
T,2013,10,0.0899885062752811,36.2
T,2013,11,0.1375214552966395,35.21
T,2013,12,0.08228764771283714,35.16
T,2014,1,0.12337137279792339,33.32
T,2014,2,0.10787628074001436,31.93
T,2014,3,0.22893377969788534,35.07
T,2014,4,0.10505461043227755,35.7
T,2014,5,0.19419285510652623,35.47
T,2014,6,0.07608752244700849,35.36
T,2014,7,0.10717269324524166,35.59
T,2014,8,0.04662466108888991,34.96
T,2014,9,0.08463515168419868,35.24
T,2014,10,0.03347077131940256,34.84
T,2014,11,0.043979052344129736,35.38
T,2014,12,0.07291223046743447,33.59
T,2015,1,0.07996411816249145,32.92
T,2015,2,0.012220967296055003,34.56
T,2015,3,0.06133203109453515,32.65
