PERMNO,date,TICKER,PRC
18143,2022-01-31,LIN,318.67999
18143,2022-02-28,LIN,293.23999
18143,2022-03-31,LIN,319.42999
18143,2022-04-29,LIN,311.95999
18143,2022-05-31,LIN,324.67999
18143,2022-06-30,LIN,287.53000
18143,2022-07-29,LIN,302.00000
18143,2022-08-31,LIN,282.85999
18143,2022-09-30,LIN,269.59000
18143,2022-10-31,LIN,297.35001
18143,2022-11-30,LIN,336.48001
18143,2022-12-30,LIN,326.17999
18143,2023-01-31,LIN,330.94000
18143,2023-02-28,LIN,348.37000
18143,2023-03-31,LIN,355.44000
18143,2023-04-28,LIN,369.45001
18143,2023-05-31,LIN,353.66000
18143,2023-06-30,LIN,381.07999
18143,2023-07-31,LIN,390.67001
18143,2023-08-31,LIN,387.04001
18163,2010-01-29,PG,61.55000
18163,2010-02-26,PG,63.28000
18163,2010-03-31,PG,63.27000
18163,2010-04-30,PG,62.16000
18163,2010-05-28,PG,61.09000
18163,2010-06-30,PG,59.98000
18163,2010-07-30,PG,61.16000
18163,2010-08-31,PG,59.67000
18163,2010-09-30,PG,59.97000
18163,2010-10-29,PG,63.57000
18163,2010-11-30,PG,61.07000
18163,2010-12-31,PG,64.33000
18163,2011-01-31,PG,63.13000
18163,2011-02-28,PG,63.05000
18163,2011-03-31,PG,61.60000
18163,2011-04-29,PG,64.90000
18163,2011-05-31,PG,67.00000
18163,2011-06-30,PG,63.57000
18163,2011-07-29,PG,61.49000
18163,2011-08-31,PG,63.68000
18163,2011-09-30,PG,63.18000
18163,2011-10-31,PG,63.99000
18163,2011-11-30,PG,64.57000
18163,2011-12-30,PG,66.71000
18163,2012-01-31,PG,63.04000
18163,2012-02-29,PG,67.62000
18163,2012-03-30,PG,67.21000
18163,2012-04-30,PG,63.64000
18163,2012-05-31,PG,62.29000
18163,2012-06-29,PG,61.25000
18163,2012-07-31,PG,64.54000
18163,2012-08-31,PG,67.19000
18163,2012-09-28,PG,69.36000
18163,2012-10-31,PG,69.24000
18163,2012-11-30,PG,69.83000
18163,2012-12-31,PG,67.89000
18163,2013-01-31,PG,75.16000
18163,2013-02-28,PG,76.18000
18163,2013-03-28,PG,77.06000
18163,2013-04-30,PG,76.77000
18163,2013-05-31,PG,76.76000
18163,2013-06-28,PG,76.99000
18163,2013-07-31,PG,80.30000
18163,2013-08-30,PG,77.89000
18163,2013-09-30,PG,75.59000
18163,2013-10-31,PG,80.75000
18163,2013-11-29,PG,84.22000
18163,2013-12-31,PG,81.41000
18163,2014-01-31,PG,76.62000
18163,2014-02-28,PG,78.66000
18163,2014-03-31,PG,80.60000
18163,2014-04-30,PG,82.55000
18163,2014-05-30,PG,80.79000
18163,2014-06-30,PG,78.59000
18163,2014-07-31,PG,77.32000
18163,2014-08-29,PG,83.11000
18163,2014-09-30,PG,83.74000
18163,2014-10-31,PG,87.27000
18163,2014-11-28,PG,90.43000
18163,2014-12-31,PG,91.09000
18163,2015-01-30,PG,84.29000
18163,2015-02-27,PG,85.13000
18163,2015-03-31,PG,81.94000
18163,2015-04-30,PG,79.51000
18163,2015-05-29,PG,78.39000
18163,2015-06-30,PG,78.24000
18163,2015-07-31,PG,76.70000
18163,2015-08-31,PG,70.67000
18163,2015-09-30,PG,71.94000
18163,2015-10-30,PG,76.38000
18163,2015-11-30,PG,74.84000
18163,2015-12-31,PG,79.41000
